sno,year,month,date,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Tavg,min,max,DstYear,Century
21628,2016,3,20,-21,-22,-22,-23,-21,-21,-23,-22,-19,-15,-17,-18,-19,-15,-14,-18,-29,-38,-34,-38,-40,-43,-40,-37,-25,-43,-14,DST1603*20,RRX020
21629,2016,3,21,-34,-29,-23,-20,-20,-17,-16,-17,-12,-14,-17,-14,-11,-4,0,-2,-9,-9,-4,-3,-3,-7,-11,-13,-13,-34,0,DST1603*21,RRX020
21630,2016,3,22,-12,-10,-4,-2,-1,1,1,0,1,1,3,1,-5,-4,-4,-5,-8,-7,-8,-7,-6,-8,-5,-2,-4,-12,3,DST1603*22,RRX020
21631,2016,3,23,-6,-1,2,5,2,-9,-14,-13,-7,-2,-8,-10,-11,-11,-8,-4,-3,2,4,3,3,-5,-7,-9,-4,-14,5,DST1603*23,RRX020
21632,2016,3,24,-13,-16,-12,-8,-6,-3,0,0,4,5,5,4,3,5,3,4,1,-2,-3,0,2,2,-2,-6,-1,-16,5,DST1603*24,RRX020
21633,2016,3,25,-12,-19,-23,-19,-16,-13,-11,-9,-4,-3,-2,-4,-6,-7,-6,-5,-4,-4,-5,-4,-3,-3,-3,-3,-8,-23,-2,DST1603*25,RRX020
21634,2016,3,26,-3,-4,-2,0,0,-1,1,2,5,7,7,6,6,7,8,12,13,12,13,11,11,14,15,17,7,-4,17,DST1603*26,RRX020
21635,2016,3,27,12,10,11,11,14,12,8,15,11,-4,1,5,2,4,5,6,6,-7,-2,-1,2,1,-2,-3,5,-7,15,DST1603*27,RRX020
21636,2016,3,28,2,8,9,2,-9,-12,-8,-5,-3,-4,-3,-4,-3,-3,0,5,6,5,2,0,-1,-5,-1,0,-1,-12,9,DST1603*28,RRX020
21637,2016,3,29,-4,-11,-15,-15,-12,-7,-10,-11,-7,-9,-8,-11,-14,-15,-8,-5,-11,-13,-9,-7,-8,-9,-13,-13,-10,-15,-4,DST1603*29,RRX020
21638,2016,3,30,-10,-10,-12,-6,-3,-1,-2,-3,0,1,-2,-10,-19,-19,-15,-11,-15,-15,-16,-16,-12,-10,-8,-8,-9,-19,1,DST1603*30,RRX020
21639,2016,3,31,-13,-14,-11,-7,-5,-6,-6,-9,-6,-6,-8,-9,-8,-9,-6,-3,-2,-4,-3,-4,-3,-4,-8,-8,-7,-14,-2,DST1603*31,RRX020
21640,2016,4,1,-7,-7,-5,-2,-1,-1,-1,1,4,5,3,1,2,0,0,0,-1,0,0,0,2,6,9,9,1,-7,9,DST1604*01,RRX020
21641,2016,4,2,6,3,0,0,1,1,0,2,4,5,5,6,13,26,35,13,3,-16,-30,-30,-38,-42,-55,-56,-6,-56,35,DST1604*02,RRX020
21642,2016,4,3,-50,-47,-45,-39,-34,-38,-36,-38,-27,-21,-25,-24,-20,-16,-15,-15,-17,-21,-26,-32,-36,-35,-28,-27,-30,-50,-15,DST1604*03,RRX020
